Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,40,1,2,2,15
Red Bull,74,3,4,1,3
McLaren,14,7,10,10,12
Ferrari,50,6,8,5,6
Aston Martin,25,11,20,7,14
Alpine,23,15,16,9,13
AlphaTauri,34,5,9,4,DNF
Alfa Romeo,14,12,14,8,11
Williams,1,13,17,16,17
Haas,0,18,19,18,DNF
