Constructor Name,Fantasy Points,Driver 1 Qualifying Position,Driver 2 Qualifying Position,Driver 1 Race Finish,Driver 2 Race Finish
Mercedes,65,1,2,1,3
Red Bull,41,3,5,2,DNF
McLaren,26,7,11,5,10
Ferrari,38,4,15,7,8
Aston Martin,13,17,18,11,DNF
Alpine,31,9,13,4,13
AlphaTauri,14,6,8,6,14
Alfa Romeo,9,10,12,9,15
Williams,12,14,16,12,DNF
Haas,2,19,20,DNF,DNF
