driver,time,lapNum,s1,s2,s3,spI1,spI2,SpeedFL,spst,isPB,compound,tyrelife,isFresh,Stint,trackStatus,isAccurate,season,round
33,90.577,8,28.648,39.201,22.728,244.0,268.0,286.0,317.0,True,SOFT,2.0,True,4,1,True,2021,1
44,91.316,8,28.722,39.801,22.793,239.0,264.0,290.0,320.0,True,SOFT,2.0,True,3,1,True,2021,1
10,91.583,9,28.951,39.68,22.951999999999998,242.0,270.0,289.0,321.0,True,SOFT,2.0,True,3,1,True,2021,1
77,91.855,12,28.982,39.931,22.942,235.0,260.0,289.0,320.0,True,SOFT,2.0,True,3,1,True,2021,1
11,91.908,9,29.106,40.01,22.792,242.0,267.0,288.0,317.0,True,SOFT,2.0,True,3,1,True,2021,1
55,92.108,9,29.186,39.885,23.037,240.0,265.0,289.0,317.0,True,MEDIUM,2.0,True,4,1,True,2021,1
7,92.224,11,29.007,39.995,23.222,240.0,266.0,286.0,319.0,True,SOFT,2.0,True,4,1,True,2021,1
31,92.423,8,29.195,40.09,23.138,240.0,267.0,286.0,319.0,True,SOFT,2.0,True,2,1,True,2021,1
18,92.431,12,29.119,39.997,23.315,241.0,262.0,291.0,321.0,True,SOFT,2.0,True,3,1,True,2021,1
3,92.477,7,29.147,40.097,23.233,241.0,267.0,290.0,324.0,True,SOFT,2.0,True,2,1,True,2021,1
16,92.482,10,29.215,40.216,23.051,242.0,266.0,291.0,318.0,True,MEDIUM,2.0,True,2,1,True,2021,1
99,92.5,9,28.972,40.144,23.384,242.0,267.0,292.0,326.0,True,SOFT,2.0,True,4,1,True,2021,1
22,92.709,11,29.357,40.137,23.215,241.0,267.0,287.0,321.0,True,SOFT,3.0,True,4,1,True,2021,1
5,92.755,11,29.333,40.194,23.228,240.0,265.0,286.0,319.0,True,SOFT,2.0,True,3,1,True,2021,1
14,92.82,12,29.247,40.273,23.3,239.0,266.0,288.0,322.0,True,SOFT,2.0,True,4,1,True,2021,1
4,92.86,7,29.501,40.055,23.304,242.0,268.0,289.0,321.0,True,SOFT,2.0,True,2,1,True,2021,1
63,93.323,8,29.361,40.72,23.242,237.0,261.0,291.0,324.0,True,SOFT,2.0,True,3,1,True,2021,1
47,93.422,9,29.424,40.435,23.563,238.0,265.0,288.0,320.0,True,SOFT,2.0,True,3,1,True,2021,1
9,93.622,9,29.576,40.649,23.397,241.0,264.0,289.0,317.0,True,SOFT,9.0,False,2,1,True,2021,1
6,93.959,10,29.631,40.949,23.379,232.0,260.0,289.0,321.0,True,SOFT,2.0,True,5,1,True,2021,1
33,74.958,12,24.041,25.836,25.081,232.0,258.0,281.0,288.0,True,SOFT,2.0,True,4,1,True,2021,2
4,75.414,12,23.917,26.06,25.437,234.0,257.0,282.0,284.0,True,SOFT,4.0,True,3,1,True,2021,2
44,75.515,9,24.037,26.134,25.344,231.0,256.0,282.0,288.0,True,SOFT,2.0,True,3,1,True,2021,2
11,75.551,15,24.088,26.052,25.411,232.0,259.0,283.0,287.0,True,SOFT,5.0,False,5,1,True,2021,2
16,75.738,10,24.302,26.065,25.371,232.0,259.0,281.0,290.0,True,SOFT,2.0,True,2,1,True,2021,2
10,75.89,10,24.282,26.28,25.328,230.0,260.0,283.0,289.0,True,MEDIUM,10.0,False,2,1,True,2021,2
55,75.908,12,24.362,26.111,25.435,228.0,258.0,279.0,288.0,True,SOFT,4.0,True,3,1,True,2021,2
77,75.908,11,24.213,26.243,25.452,230.0,257.0,279.0,282.0,True,SOFT,3.0,True,3,1,True,2021,2
14,76.186,13,24.405,26.37,25.411,231.0,259.0,282.0,287.0,True,SOFT,4.0,True,2,1,True,2021,2
31,76.228,10,24.443,26.406,25.379,223.0,260.0,283.0,294.0,True,SOFT,2.0,True,2,1,True,2021,2
22,76.23,18,24.382,26.297,25.551,229.0,258.0,279.0,286.0,True,SOFT,6.0,True,4,1,True,2021,2
18,76.245,16,24.3,26.252,25.693,230.0,257.0,280.0,287.0,True,SOFT,5.0,True,4,1,True,2021,2
3,76.253,12,24.235,26.233,25.785,231.0,257.0,280.0,284.0,True,SOFT,6.0,True,2,2,True,2021,2
5,76.389,13,24.366,26.438,25.585,231.0,257.0,284.0,288.0,True,SOFT,2.0,True,4,1,True,2021,2
63,76.427,13,24.176,26.469,25.782,233.0,259.0,283.0,285.0,True,SOFT,4.0,True,3,1,True,2021,2
